Index Trading Symbol;Index Name;Index ISIN;Symbol;TRUENAMES;NAME;TICKER;Transparency Level;Exchange;Index Value (close);Index Settlement Value (Future);Index Settlement Value (Kassa);Index Settlement Value (Option);Constant A (last regular rebalancing) (Index);Kt (last regular rebalancing) (Index);Market Cap. (in Mio.) (last regular rebalancing) (Index);# Constituents;Performance (1d) (Index);Performance (1m) (Index);Performance (12m) (Index);Performance (ytd) (Index);Volatility (1m) (Index);Volatility (12m) (Index);Sharpe Ratio (1m) (Index);Sharpe Ratio (12m) (Index);pit;pi0 (last regular rebalancing);qi0 (last regular rebalancing);qit (last regular rebalancing);ffit (last regular rebalancing);ci (last regular rebalancing);Market Cap. (in Mio.) (last regular rebalancing);Weight (last regular rebalancing);Fi (last regular rebalancing);Fi (norm 1m EUR) (last regular rebalancing);Fi (norm Index) (last regular rebalancing);Quintil;Performance (1d);Performance (1m);Performance (12m);Performance (ytd);Volatility (1m);Volatility (12m);Sharpe Ratio (1m);Sharpe Ratio (12m);Beta (1m);Beta (12m);Correlation (1m);Correlation (12m)
MKDX;MDAX KURSINDEX;DE0008467531;GXI;GERRESHEIMER AG;DE000A0LD6E6;GXI.DE;Prime Standard;XETRA;18.436,59;GXI.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;86,35;40;31.400.000;31.400.000;0,8995;1;2.623,90;0,79%;3,500929;85,177172;1,570377;4;0,64%;-7,94%;-7,90%;-0,24%;38,77%;25,12%;-0,6865;-0,3;0,9242;0,8313;0,3052;0,4884
MKDX;MDAX KURSINDEX;DE0008467531;GYC;GRAND CITY PROPERT.EO-,10;LU0775917882;GYC.DE;Prime Standard;XETRA;18.436,59;GYC.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;22,38;2,8;50.000.000;171.864.050;0,5804;1;2.330,16;0,70%;12,364169;300,818712;5,546071;4;0,18%;0,78%;17,21%;10,78%;13,92%;19,77%;0,1995;0,879;0,6958;0,6839;0,6401;0,5106
MKDX;MDAX KURSINDEX;DE0008467531;HNR1;HANNOVER RUECK SE NA O.N.;DE0008402215;HNR1.DE;Prime Standard;XETRA;18.436,59;HNR1.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;142,15;38,55;7.062.151;120.597.134;0,4978;1;8.629,78;2,60%;7,441224;181,04406;3,337835;2;-0,63%;-0,84%;1,85%;17,32%;25,16%;24,84%;-0,106;0,0861;1,5425;0,8661;0,7851;0,5146
MKDX;MDAX KURSINDEX;DE0008467531;HLE;HELLA GMBH+CO. KGAA O.N.;DE000A13SX22;HLE.DE;Prime Standard;XETRA;18.436,59;HLE.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;59,2;27,5;111.111.112;111.111.112;0,4;1;2.475,56;0,75%;5,508964;134,032429;2,471101;4;1,23%;4,41%;52,66%;11,91%;24,74%;34,05%;0,6072;1,5431;1,0618;1,2034;0,5497;0,5216
MKDX;MDAX KURSINDEX;DE0008467531;HFG;HELLOFRESH SE  INH O.N.;DE000A161408;HFG.DE;Prime Standard;XETRA;18.436,59;HFG.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;83,46;10,6;160.128.752;173.864.414;0,9982;1;14.290,23;4,31%;21,511998;523,384273;9,649421;1;0,31%;2,66%;87,05%;32,06%;35,49%;53,92%;0,2567;1,6072;0,7107;1,0715;0,2564;0,2933
MKDX;MDAX KURSINDEX;DE0008467531;HOT;HOCHTIEF AG;DE0006070006;HOT.DE;Prime Standard;XETRA;18.436,59;HOT.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;68,46;210,65;4.000.000;70.646.707;0,281;1;1.296,71;0,39%;2,460655;59,867434;1,103751;5;3,04%;4,55%;-4,39%;-9,44%;27,41%;36,94%;0,5654;-0,1096;1,4012;1,2667;0,6546;0,5062
MKDX;MDAX KURSINDEX;DE0008467531;BOSS;HUGO BOSS AG NA O.N.;DE000A1PHFF7;BOSS.DE;Prime Standard;XETRA;18.436,59;BOSS.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;50,38;732,02;147.000;70.400.000;0,7745;1;2.486,88;0,75%;6,758442;164,432055;3,031566;4;-0,20%;9,40%;113,32%;84,79%;21,10%;37,50%;1,5096;3,006;0,9223;1,0887;0,5598;0,4285
MKDX;MDAX KURSINDEX;DE0008467531;SDF;K+S AG NA O.N.;DE000KSAG888;SDF.DE;Prime Standard;XETRA;18.436,59;SDF.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;12,235;62,38;2.497.550;191.400.000;1;1;2.129,33;0,64%;23,724355;577,21065;10,641796;4;-0,65%;8,47%;107,51%;57,10%;40,37%;49,94%;0,7109;2,1417;1,2185;1,3662;0,3865;0,4037
MKDX;MDAX KURSINDEX;DE0008467531;KGX;KION GROUP AG;DE000KGX8881;KGX.DE;Prime Standard;XETRA;18.436,59;KGX.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;88,66;24,19;98.900.000;131.198.647;0,5468;1;6.244,20;1,88%;8,892223;216,346695;3,988695;2;-0,11%;-2,34%;27,32%;25,21%;22,07%;30,24%;-0,3496;0,9063;1,2512;1,1702;0,7259;0,5711
MKDX;MDAX KURSINDEX;DE0008467531;KBX;KNORR-BREMSE AG  INH O.N.;DE000KBX1006;KBX.DE;Prime Standard;XETRA;18.436,59;KBX.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;96,06;80,1;161.200.000;161.200.000;0,41;1;7.058,63;2,13%;8,192216;199,315602;3,6747;2;-0,29%;-14,99%;-6,17%;-12,71%;55,61%;25,68%;-0,9059;-0,2265;-0,525;0,5061;-0,1209;0,2908
