A;TICKER;NAME;TRUENAMES
SYM;FB;SMART;AMEX
SYM;FAST;SMART;AMEX
SYM;FRT;SMART;AMEX
SYM;FDX;SMART;AMEX
SYM;FIS;SMART;AMEX
SYM;FITB;SMART;AMEX
SYM;FE;SMART;AMEX
SYM;FRC;SMART;AMEX
SYM;FISV;SMART;AMEX
SYM;FLT;SMART;AMEX
SYM;FLIR;SMART;AMEX
SYM;FLS;SMART;AMEX
SYM;FMC;SMART;AMEX
SYM;F;SMART;AMEX
SYM;FTNT;SMART;AMEX
SYM;FTV;SMART;AMEX
SYM;FBHS;SMART;AMEX
SYM;FOXA;SMART;AMEX
SYM;FOX;SMART;AMEX
SYM;BEN;SMART;AMEX
SYM;FCX;SMART;AMEX
SYM;GPS;SMART;AMEX
SYM;GRMN;SMART;AMEX
SYM;IT;SMART;AMEX
SYM;GD;SMART;AMEX
SYM;GE;SMART;AMEX
SYM;GIS;SMART;AMEX
SYM;GM;SMART;AMEX
SYM;GPC;SMART;AMEX
SYM;GILD;SMART;AMEX
SYM;GL;SMART;AMEX
SYM;GPN;SMART;AMEX
SYM;GS;SMART;AMEX
SYM;GWW;SMART;AMEX
SYM;HRB;SMART;AMEX
SYM;HAL;SMART;AMEX
SYM;HBI;SMART;AMEX
SYM;HOG;SMART;AMEX
SYM;HIG;SMART;AMEX
SYM;HAS;SMART;AMEX
SYM;HCA;SMART;AMEX
SYM;PEAK;SMART;AMEX
SYM;HP;SMART;AMEX
SYM;HSIC;SMART;AMEX
SYM;HSY;SMART;AMEX
SYM;HES;SMART;AMEX
SYM;HPE;SMART;AMEX
SYM;HLT;SMART;AMEX
SYM;HFC;SMART;AMEX
SYM;HOLX;SMART;AMEX
SYM;HD;SMART;AMEX
SYM;HON;SMART;AMEX
SYM;HRL;SMART;AMEX
SYM;HST;SMART;AMEX
SYM;HWM;SMART;AMEX
SYM;HPQ;SMART;AMEX
SYM;HUM;SMART;AMEX
SYM;HBAN;SMART;AMEX
SYM;HII;SMART;AMEX
SYM;IEX;SMART;AMEX
SYM;IDXX;SMART;AMEX
SYM;INFO;SMART;AMEX
SYM;ITW;SMART;AMEX
SYM;ILMN;SMART;AMEX
SYM;INCY;SMART;AMEX
SYM;IR;SMART;AMEX
SYM;INTC;SMART;AMEX
SYM;ICE;SMART;AMEX
SYM;IBM;SMART;AMEX
SYM;IP;SMART;AMEX
SYM;IPG;SMART;AMEX
SYM;IFF;SMART;AMEX
SYM;INTU;SMART;AMEX
SYM;ISRG;SMART;AMEX
SYM;IVZ;SMART;AMEX
SYM;IPGP;SMART;AMEX
SYM;IQV;SMART;AMEX
SYM;IRM;SMART;AMEX
SYM;JKHY;SMART;AMEX
SYM;J;SMART;AMEX
SYM;JBHT;SMART;AMEX
SYM;SJM;SMART;AMEX
SYM;JNJ;SMART;AMEX
SYM;JCI;SMART;AMEX
SYM;JPM;SMART;AMEX
SYM;JNPR;SMART;AMEX
SYM;KSU;SMART;AMEX
SYM;K;SMART;AMEX
SYM;KEY;SMART;AMEX
SYM;KEYS;SMART;AMEX
SYM;KMB;SMART;AMEX
SYM;KIM;SMART;AMEX
SYM;KMI;SMART;AMEX
SYM;KLAC;SMART;AMEX
SYM;KSS;SMART;AMEX
SYM;KHC;SMART;AMEX
SYM;KR;SMART;AMEX
SYM;LB;SMART;AMEX
SYM;LHX;SMART;AMEX
SYM;LH;SMART;AMEX
SYM;LRCX;SMART;AMEX
SYM;LW;SMART;AMEX
SYM;LVS;SMART;AMEX
SYM;LEG;SMART;AMEX
SYM;LDOS;SMART;AMEX
SYM;LEN;SMART;AMEX
SYM;LLY;SMART;AMEX
SYM;LNC;SMART;AMEX
SYM;LIN;SMART;AMEX
SYM;LYV;SMART;AMEX
SYM;LKQ;SMART;AMEX
SYM;LMT;SMART;AMEX
SYM;L;SMART;AMEX
SYM;LOW;SMART;AMEX
SYM;LYB;SMART;AMEX
SYM;MTB;SMART;AMEX
SYM;MRO;SMART;AMEX
SYM;MPC;SMART;AMEX
SYM;MKTX;SMART;AMEX
SYM;MAR;SMART;AMEX
SYM;MMC;SMART;AMEX
SYM;MLM;SMART;AMEX
SYM;MAS;SMART;AMEX
SYM;MA;SMART;AMEX
SYM;MKC;SMART;AMEX
SYM;MXIM;SMART;AMEX
SYM;MCD;SMART;AMEX
SYM;MCK;SMART;AMEX
SYM;MDT;SMART;AMEX
SYM;MRK;SMART;AMEX
SYM;MET;SMART;AMEX
SYM;MTD;SMART;AMEX
SYM;MGM;SMART;AMEX
SYM;MCHP;SMART;AMEX
SYM;MU;SMART;AMEX
SYM;MSFT;SMART;AMEX
SYM;MAA;SMART;AMEX
SYM;MHK;SMART;AMEX
SYM;TAP;SMART;AMEX
SYM;MDLZ;SMART;AMEX
SYM;MNST;SMART;AMEX
SYM;MCO;SMART;AMEX
SYM;MS;SMART;AMEX
SYM;MOS;SMART;AMEX
SYM;MSI;SMART;AMEX
SYM;MSCI;SMART;AMEX
SYM;MYL;SMART;AMEX
SYM;NDAQ;SMART;AMEX
SYM;NOV;SMART;AMEX
SYM;NTAP;SMART;AMEX
SYM;NFLX;SMART;AMEX
SYM;NWL;SMART;AMEX
SYM;NEM;SMART;AMEX
SYM;NWSA;SMART;AMEX
SYM;NWS;SMART;AMEX
SYM;NEE;SMART;AMEX
SYM;NLSN;SMART;AMEX
SYM;NKE;SMART;AMEX
SYM;NI;SMART;AMEX
