WKN;ISIN;TICKER;TYP;NAME;TRUENAMES
A1H5UN;IE00B4PY7Y77;IS0R.DE;ETF;ISHARES $ HIGH YIELD.;iShares $ High Yield Corp Bond UCITS ETF USD (Dist)
A2DKPP;IE00BDQZ5152;SXRF.DE;ETF;ISHARES $ INTERMEDIATE.;iShares $ Intermediate Credit Bond UCITS ETF USD (Dist)
A2DKPQ;IE00BDQYWQ65;SXRH.DE;ETF;ISHARES $ TIPS 0-5.;iShares $ TIPS 0-5 UCITS ETF USD (Dist)
A2ANH1;IE00BYZK4669;2B77.DE;ETF;ISHARES AGEING.;iShares Ageing Population UCITS ETF USD (Acc)
A0D8Q2;DE000A0D8Q23;EXXX.DE;ETF;ISHARES ATX (DE).;iShares ATX UCITS ETF (DE)
A2ANH0;IE00BYZK4552;2B76.DE;ETF;ISHARES AUTOMATION &.;"iShares Automation &amp; Robotics UCITS ETF USD (Acc)"
A2ANH3;IE00BYZK4883;2B79.DE;ETF;ISHARES DIGITALISATION.;iShares Digitalisation UCITS ETF USD (Acc)
593394;DE0005933949;EXW3.DE;ETF;ISHARES DJ STOXX 50.;iShares STOXX Europe 50 UCITS ETF (DE)
263530;DE0002635307;EXSA.DE;ETF;ISHARES DJ STOXX 600.;iShares STOXX Europe 600 UCITS ETF (DE)
A0F5UH;DE000A0F5UH1;ISPA.DE;ETF;ISHARES DJ STOXX.;iShares STOXX Global Select Dividend 100 UCITS ETF (DE)
593398;DE0005933980;EXSC.DE;ETF;ISHARES DJ STOXX LARGE.;iShares STOXX Europe Large 200 UCITS ETF (DE)
263529;DE0002635299;EXSH.DE;ETF;ISHARES DJ STOXX SEL..;iShares STOXX Europe Select Dividend 30 UCITS ETF (DE)
A1J783;IE00B86MWN23;EUN0.DE;ETF;ISHARES EDGE MSCI.;iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR (Acc)
A1J784;IE00B6SPMN59;2B7D.DE;ETF;ISHARES EDGE S&P 500.;"iShares S&amp;P 500 Consumer Staples Sector UCITS ETF USD (Acc)"
A2AUE8;IE00BYX8XD24;IS31.DE;ETF;ISHARES EDGE S&P 500.;"iShares Edge S&amp;P 500 Minimum Volatility UCITS ETF EUR Hedged (Acc)"
A1C3NE;IE00B66F4759;EUNW.DE;ETF;ISHARES EUR HIGH YIELD.;"iShares &#226;&#130;&#172; High Yield Corp Bond UCITS ETF EUR (Dist)"
A0RL82;IE00B4WXJH41;EUNE.DE;ETF;ISHARES EURO GOV..;iShares EURO STOXX 50 UCITS ETF EUR (Dist)
A12HMZ;IE00BSKRJX20;IS05.DE;ETF;ISHARES EURO GOV..;"iShares &#226;&#130;&#172; Govt Bond 20yr Target Duration UCITS ETF EUR (Dist)"
A14YPB;IE00BZ0PKV06;IBC0.DE;ETF;ISHARES FACTORSELECT.;iShares Edge MSCI Europe Multifactor UCITS ETF EUR (Acc)
A14YN9;IE00BZ0PKS76;IBCY.DE;ETF;ISHARES FACTORSELECT.;iShares Edge MSCI USA Multifactor UCITS ETF USD (Acc)
A14YPA;IE00BZ0PKT83;IBCZ.DE;ETF;ISHARES FACTORSELECT.;iShares Edge MSCI World Multifactor UCITS ETF USD (Acc)
A1JXZF;IE00B7LGZ558;36BB.DE;ETF;ISHARES FRANCE.;iShares MSCI World Consumer Discretionary Sector UCITS ETF USD Inc
552752;IE0005042456;IUSZ.DE;ETF;ISHARES FTSE100;iShares Core FTSE 100 UCITS ETF GBP (Dist)
A1JXZG;IE00B5V94313;2B77.DE;ETF;ISHARES GERMANY;iShares Ageing Population UCITS ETF USD (Acc)
A2H6ZT;IE00BDBRDM35;EUNA.DE;ETF;ISHARES GLOBAL;iShares STOXX Europe 50 UCITS ETF EUR (Dist)
A2ANH2;IE00BYZK4776;2B78.DE;ETF;ISHARES HEALTHCARE;iShares Healthcare Innovation UCITS ETF USD (Acc)
A2AFCX;IE00BYM31M36;QDVQ.DE;ETF;ISHARES HIGH YIELD;iShares Fallen Angels High Yield Corp Bond UCITS ETF USD (Dist)
A0HGV1;IE00B0M62X26;IBCI.DE;ETF;ISHARES INFL. GOV.;"iShares &#226;&#130;&#172; Inflation Linked Govt Bond UCITS ETF EUR (Acc)"
A0MM0N;IE00B1TXHL60;IBC7.DE;ETF;ISHARES LISTED PRIVATE;iShares Fallen Angels High Yield Corporate Bond UCITS ETF EUR Hedged (Dist)
A1JMDF;IE00B6R52259;2B79.DE;ETF;ISHARES MSCI ACWI;iShares Digitalisation UCITS ETF USD (Acc)
A12DPT;IE00BQT3WG13;36BZ.DE;ETF;ISHARES MSCI CHINA A;iShares MSCI China A UCITS ETF USD (Acc)
A111X9;IE00BKM4GZ66;IS3N.DE;ETF;ISHARES MSCI EMERGIN;iShares Core MSCI EM IMI UCITS ETF USD (Acc)
A0RPWJ;IE00B4L5YC18;EUNM.DE;ETF;ISHARES MSCI EMERGING;iShares MSCI EM UCITS ETF USD (Acc)
A1W37Z;IE00BCLWRF22;IS3G.DE;ETF;ISHARES MSCI EMU LARGE;iShares MSCI EMU Large Cap UCITS ETF EUR (Acc)
A14SMA;IE00BWZN1T31;CEBP.DE;ETF;ISHARES MSCI EMU USD;iShares VII PLC - iShares MSCI EMU USD Hedged ETF Acc
A0RPWG;IE00B4K48X80;EUNK.DE;ETF;ISHARES MSCI EUROPE;iShares Core MSCI Europe UCITS ETF EUR (Acc)
A12DPN;IE00BQN1K786;CEMR.DE;ETF;ISHARES MSCI EUROPE;iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc)
A12DPM;IE00BQN1K562;CEMQ.DE;ETF;ISHARES MSCI EUROPE;iShares Edge MSCI Europe Quality Factor UCITS ETF EUR (Acc)
A12DPQ;IE00BQN1KC32;CEMT.DE;ETF;ISHARES MSCI EUROPE;iShares Edge MSCI Europe Size Factor UCITS ETF EUR (Acc)
A12DPP;IE00BQN1K901;CEMS.DE;ETF;ISHARES MSCI EUROPE;iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Acc)
A2AUE9;IE00BYX8XC17;SXR6.DE;ETF;ISHARES MSCI JAPAN;iShares MSCI Japan SRI UCITS ETF
A0Q1YX;IE00B2QWDY88;IUS4.DE;ETF;ISHARES MSCI JAPAN;iShares MSCI Japan Small Cap UCITS ETF USD (Dist)
A2AFC1;IE00BYVJRQ85;QDVN.DE;ETF;ISHARES MSCI JP SRI EUR-;iShares MSCI Japan SRI EUR Hedged UCITS ETF (Acc)
A0YJ8Y;IE00B52XQP83;IBC4.DE;ETF;ISHARES MSCI SOUTH;iShares MSCI South Africa UCITS ETF USD (Acc)
A2AP36;IE00BD1F4N50;QDVA.DE;ETF;ISHARES MSCI USA;iShares Edge MSCI USA Momentum Factor UCITS ETF USD (Acc)
A2AP34;IE00BD1F4L37;QDVB.DE;ETF;ISHARES MSCI USA QLY;iShares Edge MSCI USA Quality Factor UCITS ETF USD (Acc)
A2AP33;IE00BD1F4K20;QDVC.DE;ETF;ISHARES MSCI USA SIZE;iShares Edge MSCI USA Size Factor UCITS ETF USD (Acc)
A2AP35;IE00BD1F4M44;QDVI.DE;ETF;ISHARES MSCI USA VALUE;iShares Edge MSCI USA Value Factor UCITS ETF USD (Acc)
A0RPWH;IE00B4L5Y983;EUNL.DE;ETF;ISHARES MSCI WORLD;iShares Core MSCI World UCITS ETF USD (Acc)
A1C5E7;IE00B441G979;IUSN.DE;ETF;ISHARES MSCI WORLD;iShares MSCI World Small Cap UCITS ETF USD (Acc)
A2DN90;IE00BYXPXL17;SXR0.DE;ETF;ISHARES MSCI WORLD;iShares Edge MSCI World Minimum Volatility UCITS ETF EUR Hedged (Acc)
A2DN91;IE00BYXPXK00;IS07.DE;ETF;ISHARES MSCI WORLD;iShares Edge MSCI World Multifactor UCITS ETF EUR Hedged (Acc)
A0H08D;DE000A0H08D2;EXX7.DE;ETF;ISHARES NIK225;iShares Nikkei 225 UCITS ETF (DE)
622391;IE0031442068;IUSA.DE;ETF;ISHARES S&P 500;"iShares Core S&amp;P 500 UCITS ETF USD Dist"
A142NW;IE00B40B8R38;2B7D.DE;ETF;ISHARES S&P CONSUMER;"iShares S&amp;P 500 Consumer Staples Sector UCITS ETF USD (Acc)"
A142N0;IE00B4LN9N13;2B7C.DE;ETF;ISHARES S&P;"iShares S&amp;P 500 Industrials Sector UCITS ETF USD (Acc)"
A142N2;IE00B4MKCJ84;2B7B.DE;ETF;ISHARES S&P MATERIALS;"iShares S&amp;P 500 Materials Sector UCITS ETF USD (Acc)"
