Index Trading Symbol;Index Name;Index ISIN;Symbol;TRUENAMES;NAME;TICKER;Transparency Level;Exchange;Index Value (close);Index Settlement Value (Future);Index Settlement Value (Kassa);Index Settlement Value (Option);Constant A (last regular rebalancing) (Index);Kt (last regular rebalancing) (Index);Market Cap. (in Mio.) (last regular rebalancing) (Index);# Constituents;Performance (1d) (Index);Performance (1m) (Index);Performance (12m) (Index);Performance (ytd) (Index);Volatility (1m) (Index);Volatility (12m) (Index);Sharpe Ratio (1m) (Index);Sharpe Ratio (12m) (Index);pit;pi0 (last regular rebalancing);qi0 (last regular rebalancing);qit (last regular rebalancing);ffit (last regular rebalancing);ci (last regular rebalancing);Market Cap. (in Mio.) (last regular rebalancing);Weight (last regular rebalancing);Fi (last regular rebalancing);Fi (norm 1m EUR) (last regular rebalancing);Fi (norm Index) (last regular rebalancing);Quintil;Performance (1d);Performance (1m);Performance (12m);Performance (ytd);Volatility (1m);Volatility (12m);Sharpe Ratio (1m);Sharpe Ratio (12m);Beta (1m);Beta (12m);Correlation (1m);Correlation (12m)
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;TTK;TAKKT AG O.N.;DE0007446007;TTK.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;13,86;6,5;72.900.000;65.610.331;0,4975;1,060664;477,08;0,03%;0,075959;20,308954;0,032031;3;-0,86%;-0,29%;79,28%;50,35%;11,07%;30,04%;-0,0727;2,6265;0,3266;n/a;0,2912;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;TLX;TALANX AG NA O.N.;DE000TLX1005;TLX.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;34,78;19,05;251.352.604;252.797.634;0,2096;1,030801;1.888,70;0,11%;0,119833;32,039338;0,050532;2;-1,14%;0,29%;3,99%;14,14%;14,37%;25,32%;0,0791;0,1659;1,1136;n/a;0,765;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;TMV;TEAMVIEWER AG  INH O.N.;DE000A2YN900;TMV.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;31,94;26,25;200.000.000;201.070.931;0,8003;1;5.459,92;0,32%;0,353052;94,394463;0,148878;1;4,65%;3,20%;-38,17%;-27,13%;41,01%;42,88%;0,267;-0,8776;-0,5759;n/a;-0,1386;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;TTR1;TECHNOTRANS SE NA O.N.;DE000A0XYGA7;TTR1.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;27,55;94,08;2.000.000;6.907.665;0,6985;1,0104;130,41;0,01%;0,010696;2,859798;0,00451;4;-0,18%;4,75%;65,13%;11,76%;14,65%;38,97%;1,1048;1,6643;0,1534;n/a;0,1033;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;TC1;TELE COLUMBUS AG NA O.N.;DE000TCAG172;TC1.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;3,31;10,7;53.358.334;127.556.251;0,44;1,00164;186,64;0,01%;0,12334;32,976951;0,052011;4;-0,30%;-0,45%;7,99%;3,45%;11,76%;39,29%;-0,1153;0,208;-0,3166;n/a;-0,2657;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;O2D;TELEFONICA DTLD HLDG NA;DE000A1J5RX9;O2D.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;2,248;5,7;1.116.945.400;2.974.554.993;0,3078;1,078466;2.192,05;0,13%;2,166375;579,217255;0,913536;2;0,22%;0,54%;-10,90%;7,51%;13,40%;24,99%;0,1474;-0,4231;0,5752;n/a;0,4238;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;TLIK;TELES AG INFORM.TECH. ON;DE000A289B07;TLIK.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;1,42;73,06;6.600.000;3.492.488;0,2291;1;1,07;0,00%;0,001755;0,469358;0,00074;5;9,23%;5,19%;-20,05%;12,70%;32,30%;62,20%;0,5463;-0,3159;-1,0226;n/a;-0,3125;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;TKA;THYSSENKRUPP AG O.N.;DE0007500001;TKA.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;8,702;53,43;31.300.000;622.531.741;0,7907;1;4.144,63;0,24%;1,079965;288,747115;0,455409;1;-3,97%;-9,86%;33,02%;7,11%;42,53%;54,86%;-0,7777;0,6015;1,2868;n/a;0,2986;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;8TRA;TRATON SE   INH O.N.;DE000TRAT0N7;8TRA.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;26,78;27;500.000.000;500.000.000;0,1028;1;1.357,99;0,08%;0,112772;30,151404;0,047554;2;-2,41%;-2,69%;61,57%;19,59%;23,34%;30,70%;-0,3814;1,9977;0,9371;n/a;0,3962;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;UN01;UNIPER SE  NA O.N.;DE000UNSE018;UN01.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;31,33;10,3;365.960.000;365.960.000;0,2499;1,034365;2.894,64;0,17%;0,207544;55,490432;0,087519;2;-0,54%;4,64%;10,32%;16,18%;14,03%;20,38%;1,127;0,5145;0,3318;n/a;0,2334;n/a
