WKN;ISIN;TICKER;TYP;NAME;TRUENAMES
111111;2222222222;SLYV;ETF;SPDR S&P 600 Small Cap Value ET;SPDR S&P 600 Small Cap Value ET 
111111;2222222222;IWS;ETF;iShares Russell Mid-cap Value E;iShares Russell Mid-cap Value E 
111111;2222222222;IVOV;ETF;Vanguard S&P Mid-Cap 400 Value;Vanguard S&P Mid-Cap 400 Value 
111111;2222222222;IJJ;ETF;iShares S&P Mid-Cap 400 Value E;iShares S&P Mid-Cap 400 Value E 
111111;2222222222;EFV;ETF;iShares MSCI EAFE Value ETF;iShares MSCI EAFE Value ETF 
111111;2222222222;SPVU;ETF;Invesco S&P 500 Enhanced Value;Invesco S&P 500 Enhanced Value 
111111;2222222222;SVAL;ETF;iShares US Small Cap Value Fact;iShares US Small Cap Value Fact 
111111;2222222222;FVAL;ETF;Fidelity Value Factor ETF;Fidelity Value Factor ETF 
111111;2222222222;FBCV;ETF;Fidelity Blue Chip Value ETF;Fidelity Blue Chip Value ETF 
111111;2222222222;VVGM.DE;ETF;VanEck Vectors Morningstar Wide;VanEck Vectors Morningstar Wide 
111111;2222222222;GMVM.DE;ETF;VanEck Vectors Morningstar Wide;VanEck Vectors Morningstar Wide 
111111;2222222222;FDL;ETF;First Trust Morningstar ETF;First Trust Morningstar ETF 
111111;2222222222;IYLD;ETF;iShares Morningstar Multi-Asset;iShares Morningstar Multi-Asset 
111111;2222222222;ILCG;ETF;iShares Morningstar Large-Cap G;iShares Morningstar Large-Cap G 
111111;2222222222;IMCG;ETF;iShares Morningstar Mid-Cap Gro;iShares Morningstar Mid-Cap Gro 
111111;2222222222;ISCG;ETF;iShares Morningstar Small-Cap G;iShares Morningstar Small-Cap G 
